Year,County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Accidents,COVID_19,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes
2011,Livingston,419,120,89,27,24,14,13,12,10,6,10,1,5,88,0
2011,Logan,282,62,59,17,17,8,18,4,2,9,11,5,1,67,0
2011,McDonough,294,78,66,16,17,15,3,2,7,8,3,0,3,76,0
2011,McHenry,1892,389,487,86,142,80,58,46,41,33,22,22,29,457,0
2011,McLean,1064,238,244,54,56,22,71,18,29,21,18,14,16,263,2010
2011,Macoupin,547,154,117,30,32,19,16,14,16,15,8,4,4,118,0
2011,Madison,2666,646,585,146,153,146,88,61,67,58,43,18,31,624,0
2011,Marion,544,137,134,23,37,12,23,20,15,14,7,11,5,106,0
2011,Marshall,157,43,23,17,9,4,11,4,3,2,2,1,3,35,0
2011,Mason,200,45,43,6,18,5,8,3,4,5,8,2,4,49,0
2011,Massac,215,53,32,13,25,12,4,2,6,6,2,5,0,55,0
2011,Menard,107,17,22,4,12,5,7,1,3,2,2,0,1,31,0
2011,Mercer,163,58,38,6,5,5,5,5,4,4,1,0,3,29,0
2011,Monroe,281,65,75,21,10,16,6,3,5,4,4,2,1,69,0
2011,Montgomery,332,64,88,21,14,13,24,5,11,12,4,3,3,70,0
2011,Morgan,408,114,102,24,22,20,10,8,6,11,3,5,7,76,0
2011,Moultrie,193,50,40,8,10,8,2,3,6,9,1,1,0,55,0
2011,Ogle,451,108,120,22,30,13,24,13,7,1,4,9,2,98,0
2011,Peoria,1742,366,422,110,104,50,54,32,46,42,36,10,23,447,0
2011,Perry,231,46,48,14,16,9,7,14,11,6,7,4,4,45,0
2011,Piatt,173,46,42,13,6,5,2,1,9,2,1,6,0,40,0
2011,Pike,219,38,44,9,22,11,3,4,12,9,2,2,5,58,0
2011,Pope,61,15,15,2,3,1,0,2,2,1,1,1,2,16,0
2011,Pulaski,87,17,19,3,11,1,4,2,2,2,2,3,2,19,0
2011,Putnam,51,7,19,3,0,3,0,0,3,1,2,0,0,13,0
2011,Randolph,388,86,81,17,29,36,17,11,11,8,6,5,3,78,0
2011,Richland,180,39,44,8,12,6,0,1,4,4,4,0,2,56,0
2011,Rock Island,1583,475,346,70,97,44,43,35,31,35,26,17,13,351,0
2011,St. Clair,2460,562,526,139,160,105,71,54,91,30,57,39,29,597,0
2011,Saline,327,68,61,18,24,10,18,15,15,6,5,5,0,82,0
2011,Sangamon,1770,399,440,70,100,84,43,28,39,35,29,18,21,464,0
2011,Schuyler,97,22,24,4,9,5,1,4,6,0,1,0,1,20,0
2011,Scott,63,17,13,2,4,3,1,0,0,2,1,0,2,18,0
2011,Shelby,231,72,47,21,7,7,7,6,6,3,2,2,4,47,0
2011,Stark,81,16,14,1,4,6,6,0,4,1,1,2,0,26,0
2011,Stephenson,504,96,137,40,34,22,12,9,15,11,4,2,5,117,0
2011,Tazewell,1403,307,341,69,86,35,45,36,43,41,33,4,11,352,0
2011,Union,222,53,52,13,16,9,4,8,7,7,4,1,5,43,0
2011,Vermilion,982,282,196,42,84,31,34,27,15,17,26,13,7,208,0
2011,Wabash,153,34,36,7,13,6,3,3,2,4,1,2,1,41,0
2011,Warren,194,49,52,13,13,6,2,1,4,4,2,2,0,46,0
2011,Washington,152,37,27,14,8,10,1,8,3,2,5,1,0,36,0
2011,Wayne,204,42,42,19,18,6,3,4,1,5,2,6,0,56,0
2011,White,191,48,50,5,15,7,2,8,2,8,4,0,0,42,0
2011,White,659,156,160,43,52,24,16,15,14,12,12,4,5,146,0
2011,Will,3869,985,979,184,192,164,79,108,82,63,50,60,47,876,0
2011,Will,767,177,172,44,36,37,24,27,15,28,20,8,9,170,0
2011,Winnebago,2669,615,707,169,146,106,66,54,43,43,27,20,46,627,0
2011,Woodford,345,73,81,24,15,9,20,5,7,10,5,6,0,90,0
