Year,County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Accidents,COVID_19,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes
2008,ILLINOIS,103069,25979,24210,5765,5584,4173,3188,2839,2663,2571,1956,1188,1144,21809,0
2008,Adams,843,199,157,49,68,27,22,27,38,26,14,14,6,196,0
2008,Alexander,111,27,26,12,2,3,1,7,3,5,4,1,0,20,0
2008,Bond,156,43,36,8,9,11,9,2,8,3,1,0,1,25,0
2008,Boone,365,95,80,24,26,17,17,13,7,4,7,5,5,65,0
2008,Brown,56,18,8,4,4,2,0,1,1,0,2,0,2,14,0
2008,Bureau,397,102,95,17,22,21,18,7,10,23,2,6,5,69,71
2008,Carroll,195,49,48,16,14,10,1,4,6,9,2,1,3,32,0
2008,Cass,166,47,37,9,16,5,6,1,2,6,2,2,1,32,0
2008,Champaign,1147,254,257,58,70,68,51,29,27,21,16,15,7,274,0
2008,Christian,388,95,90,19,25,20,9,6,15,8,7,2,3,89,0
2008,Clark,211,69,47,13,12,11,5,7,2,4,5,1,1,34,0
2008,Clay,182,43,44,13,15,10,4,4,3,2,6,5,0,33,0
2008,Clinton,360,83,85,21,24,15,21,8,10,6,6,2,4,75,0
2008,Coles,535,138,130,40,40,19,15,14,11,17,6,9,5,91,0
2008,Cook,40631,10744,9682,2164,1703,1420,939,1180,1091,1040,1004,414,477,8773,0
2008,Crawford,235,61,59,18,21,7,5,4,7,10,0,3,0,40,0
2008,Cumberland,122,21,33,8,9,4,2,3,7,4,2,4,4,21,0
2008,DeKalb,630,160,127,45,28,32,31,30,9,10,7,6,7,138,0
2008,DeWitt,187,39,45,11,15,10,14,4,1,2,2,2,1,41,0
2008,Douglas,211,49,46,16,13,11,8,6,11,5,0,3,0,43,0
2008,DuPage,5878,1409,1486,344,324,197,226,98,164,160,84,70,55,1261,0
2008,Edgar,244,76,45,21,19,9,13,1,4,1,0,3,4,48,0
2008,Edwards,83,32,16,5,3,5,0,0,2,4,0,0,1,15,0
2008,Effingham,300,68,69,21,18,17,9,7,4,13,1,3,1,69,0
2008,Fayette,206,52,50,10,18,4,9,10,5,2,1,2,0,43,0
2008,Ford,210,51,40,10,14,13,11,3,7,8,5,0,2,46,0
2008,Franklin,558,120,127,26,38,26,41,23,13,24,11,6,8,95,440
2008,Greene,187,51,39,11,12,12,5,6,8,9,4,0,3,27,0
2008,Grundy,371,94,96,14,10,20,16,18,10,10,5,2,5,71,0
2008,Hamilton,115,47,22,7,9,7,1,1,4,4,1,2,1,9,0
2008,Hancock,213,59,46,11,10,12,7,5,11,6,4,1,2,39,0
2008,Hardin,60,13,13,5,4,7,0,4,0,0,2,0,0,12,0
2008,Henderson,84,22,17,6,4,4,2,4,2,2,0,4,1,16,0
2008,Henry,508,141,116,24,35,27,21,12,18,11,9,7,2,85,0
2008,Iroquois,388,92,86,31,29,6,26,13,6,9,6,5,4,75,0
2008,Jackson,460,108,117,18,28,25,28,14,9,11,4,6,5,87,0
2008,Jasper,112,28,28,8,5,4,1,1,5,3,1,6,0,22,0
2008,Jefferson,459,106,98,20,41,24,20,12,35,10,9,7,3,74,209
2008,Johnson,120,27,34,5,7,3,4,2,2,5,4,0,1,26,0
2008,Kane,2677,597,660,135,137,100,81,91,60,66,62,34,34,620,0
2008,Kankakee,1104,305,236,53,60,44,81,24,31,33,18,10,10,199,0
2008,Kendall,393,83,96,13,19,29,15,15,4,10,5,11,4,89,0
2008,Knox,684,148,121,44,70,36,42,14,24,10,7,9,2,157,0
2008,Lake,3960,864,1030,226,211,183,118,106,78,82,56,74,54,878,0
2008,LaSalle,1293,348,305,70,71,56,43,34,38,19,13,9,20,267,0
2008,Lawrence,196,51,30,9,14,13,17,2,4,8,5,2,2,39,0
2008,Lee,352,69,98,21,25,13,14,10,7,12,7,4,3,69,0
2008,Livingston,396,111,87,23,24,27,10,14,10,12,8,7,4,59,320
2008,McDonough,295,84,69,33,21,6,6,4,7,2,2,3,2,56,0
2008,McHenry,1863,448,466,108,94,80,65,59,38,27,24,24,32,398,0
2008,McLean,1157,299,260,57,71,54,66,33,22,20,12,19,21,223,0
2008,Macon,1239,307,300,84,73,33,28,32,14,49,32,16,5,266,0
2008,Macoupin,567,153,132,30,36,26,15,17,18,15,5,7,7,106,2676
2008,Marion,511,129,109,24,40,22,26,20,17,21,9,5,4,85,172
2008,Mason,197,45,53,10,18,7,10,4,5,3,4,1,0,37,0
2008,Massac,203,48,47,9,17,9,5,5,3,14,1,2,2,41,0
2008,Menard,128,25,29,11,13,5,2,2,5,2,0,0,0,34,0
2008,Mercer,148,34,31,3,22,6,11,5,1,8,1,2,2,22,299
