Year,County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Accidents,COVID_19,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes
2008,Montgomery,390,100,89,37,20,16,24,8,13,7,2,5,1,68,442
2008,Ogle,442,93,98,32,29,18,23,13,10,13,7,9,2,95,0
2008,Peoria,1754,433,413,108,95,66,49,44,55,45,41,23,19,363,0
2008,Perry,269,66,61,14,17,14,8,14,6,4,2,2,1,60,0
2008,Piatt,167,34,40,7,8,9,4,7,6,2,0,0,3,47,0
2008,Pike,212,40,45,13,15,7,4,7,9,6,5,1,4,56,0
2008,Pope,57,14,15,2,7,3,1,0,1,1,0,1,1,11,0
2008,Pulaski,83,26,14,5,5,3,2,1,1,4,0,2,0,20,0
2008,Putnam,56,7,22,3,3,7,2,2,0,1,2,2,2,3,0
2008,Randolph,372,82,79,26,31,12,17,16,9,8,2,3,1,86,0
2008,Richland,211,44,42,15,17,13,0,2,8,10,3,2,2,53,0
2008,St. Clair,2477,574,563,137,158,110,89,108,39,55,47,31,23,543,0
2008,Saline,381,89,86,25,18,12,27,10,10,13,4,4,7,76,0
2008,Sangamon,1782,415,389,116,108,87,34,40,48,49,25,14,35,422,0
2008,Schuyler,80,29,17,1,6,3,0,5,1,2,0,1,1,14,0
2008,Scott,50,15,12,2,3,3,0,1,0,0,2,2,0,10,0
2008,Shelby,262,67,68,16,11,15,3,9,9,9,2,2,3,48,0
2008,Stark,57,13,20,2,3,1,1,0,2,4,0,1,0,10,0
2008,Stephenson,512,107,124,40,38,19,10,14,8,9,9,6,4,124,0
2008,Tazewell,1353,284,308,74,82,57,74,33,44,34,21,13,9,320,0
2008,Union,222,56,51,12,10,8,10,2,10,12,6,3,2,40,0
2008,Vermilion,926,226,212,49,93,44,14,26,18,12,16,8,4,204,136
2008,Warren,209,64,33,21,8,11,4,3,9,4,2,7,2,41,0
2008,Washington,166,46,38,14,7,12,2,5,3,4,5,3,2,25,0
2008,Wayne,221,65,41,17,24,8,1,1,12,5,4,2,3,38,0
2008,White,207,60,42,8,24,4,8,4,5,8,6,3,0,35,0
2008,White,653,177,141,45,46,31,16,23,21,13,5,6,6,123,3820
2008,Will,758,189,154,44,65,36,31,16,17,33,16,13,8,136,0
2008,Winnebago,2644,618,655,149,152,142,67,49,45,67,29,25,39,607,0
2008,Woodford,344,85,57,23,22,15,19,8,9,4,0,3,4,95,0
2009,ILLINOIS,99896,24891,24159,5298,5243,3958,2896,2740,2688,2412,1993,1166,1111,21341,0
2009,Adams,788,197,149,80,39,32,16,21,16,25,17,10,7,179,0
2009,Alexander,111,38,21,8,4,2,1,6,7,3,2,1,0,18,0
2009,Bond,168,43,45,11,10,5,9,5,5,10,4,0,1,20,0
2009,Boone,316,80,72,16,21,11,17,15,3,4,9,7,10,51,0
2009,Brown,59,15,12,4,6,0,0,3,1,0,1,1,0,16,0
2009,Bureau,357,93,94,26,21,16,11,5,12,15,3,4,2,55,0
2009,Calhoun,60,22,12,5,4,4,2,1,2,0,1,0,1,6,0
2009,Carroll,181,46,51,15,6,10,2,5,3,1,4,0,0,38,0
2009,Cass,148,54,33,10,3,9,2,2,3,6,5,0,0,21,0
2009,Champaign,1186,236,275,59,51,63,51,37,28,31,28,24,7,296,0
2009,Christian,386,95,100,17,23,11,14,8,11,12,8,4,4,79,0
2009,Clark,214,50,53,14,20,12,9,5,5,4,2,1,1,38,0
2009,Clay,198,49,44,21,9,8,2,7,8,5,3,2,2,38,0
2009,Clinton,349,90,91,10,23,18,19,10,7,8,10,5,2,56,0
2009,Coles,455,119,88,47,25,19,12,18,10,15,10,7,5,80,0
2009,Cook,39146,10339,9466,1584,1966,1313,883,1162,1161,984,994,396,464,8434,0
2009,Chicago,19216,5251,4431,716,933,747,358,624,563,497,516,187,252,4141,0
2009,Suburban Cook,19930,5088,5035,868,1033,566,525,538,598,487,478,209,212,4293,0
2009,Crawford,252,64,58,13,21,10,7,8,5,10,3,3,2,48,0
2009,Cumberland,115,27,26,9,3,7,1,8,1,2,2,1,0,28,0
2009,DeKalb,679,157,160,32,29,41,35,15,18,6,11,12,5,158,0
2009,DeWitt,222,47,54,17,9,9,10,10,8,3,0,2,0,53,0
2009,Douglas,175,45,41,16,10,4,7,3,7,7,1,0,1,33,0
2009,DuPage,5632,1275,1482,290,306,174,218,98,162,125,85,68,64,1285,0
2009,Edgar,231,74,44,31,12,7,15,3,6,4,2,2,0,31,0
2009,Edwards,74,22,14,5,3,6,0,1,2,0,3,0,1,17,0
2009,Effingham,308,76,85,17,23,22,10,13,5,9,1,0,2,45,0
2009,Fayette,205,45,42,20,15,11,7,9,6,11,0,2,2,35,0
2009,Ford,194,42,44,9,9,4,18,1,6,5,5,3,0,48,0
2009,Franklin,520,90,115,46,26,23,40,29,19,10,15,2,4,101,0
2009,Fulton,470,115,108,21,24,16,17,12,5,12,10,3,4,123,0
2009,Gallatin,85,26,20,6,4,3,1,2,3,2,3,2,2,11,0
2009,Greene,169,38,45,4,7,11,3,6,5,5,3,3,2,37,0
2009,Grundy,374,102,109,14,17,25,16,7,8,6,3,4,6,57,0
2009,Hamilton,110,46,27,7,6,0,1,2,6,0,2,1,0,12,0
2009,Hancock,200,59,42,16,6,12,6,3,7,4,4,1,0,40,0
2009,Hardin,59,11,18,8,5,5,0,1,2,1,0,0,0,8,0
2009,Henderson,75,25,17,7,2,3,5,0,0,2,1,3,1,9,0
2009,Henry,525,135,129,31,34,18,10,13,12,9,10,9,2,113,0
2009,Iroquois,346,96,72,22,24,10,25,10,7,9,6,3,2,60,0
2009,Jackson,436,95,107,28,27,24,19,9,17,6,12,5,7,80,0
2009,Jasper,92,30,20,6,6,1,4,3,2,6,1,1,0,12,0
2009,Jefferson,449,96,104,31,17,19,23,9,10,50,13,2,5,70,0
2009,Jersey,197,61,43,10,9,10,15,8,4,1,0,0,0,36,0
2009,Jo Daviess,235,59,55,10,22,11,14,2,7,4,4,1,3,43,0
2009,Johnson,127,25,34,12,11,4,4,2,1,4,2,2,4,22,0
2009,Kane,2743,606,668,127,151,114,64,92,75,56,54,32,41,663,0
2009,Kankakee,1069,258,234,77,44,46,46,15,52,28,30,8,15,216,0
2009,Kendall,442,95,108,24,18,24,11,8,18,10,3,13,4,106,0
2009,Knox,600,182,130,48,33,23,23,12,5,15,3,8,0,118,0
2009,Lake,3941,850,1013,239,196,160,120,123,92,100,58,64,45,881,0
2009,LaSalle,1198,348,273,61,54,73,38,29,22,31,14,10,15,230,0
2009,Lawrence,231,55,36,13,16,10,17,8,6,4,2,1,2,61,0
2009,Lee,377,86,109,19,14,20,13,8,6,6,7,7,5,77,0
2009,Livingston,394,116,101,24,16,14,9,12,14,7,8,4,1,68,0
2009,Logan,316,61,61,26,20,16,14,10,6,7,5,1,2,87,0
2009,McDonough,297,87,70,14,28,7,4,7,3,10,4,4,3,56,0
2009,McHenry,1716,356,472,119,85,87,52,52,27,41,17,35,23,350,0
2009,McLean,1086,246,245,68,49,61,65,26,13,20,11,21,8,253,0
2009,Macon,1121,300,293,54,73,35,20,23,31,12,14,18,4,244,0
2009,Macoupin,574,137,123,34,31,29,21,16,15,15,10,8,7,128,0
2009,Madison,2644,681,601,176,133,139,90,68,75,63,49,39,44,486,0
2009,Marion,497,142,107,33,28,28,14,14,15,13,7,3,2,91,0
2009,Marshall,147,41,28,5,11,6,11,2,2,0,5,2,1,33,0
2009,Mason,179,46,40,11,12,9,13,2,2,3,5,3,3,30,0
2009,Massac,189,52,35,11,12,11,1,9,6,2,2,4,1,43,0
2009,Menard,132,35,30,2,7,9,9,2,1,7,3,0,2,25,0
2009,Mercer,173,54,28,12,7,10,11,5,6,6,1,2,0,31,0
2009,Monroe,261,63,57,11,21,9,7,6,3,2,6,3,1,72,0
2009,Montgomery,375,87,86,21,24,21,21,8,12,16,2,4,6,67,0
2009,Morgan,359,90,85,21,21,18,12,7,2,13,8,7,4,71,0
2009,Moultrie,159,35,30,9,9,7,4,8,8,2,2,2,1,42,0
2009,Ogle,452,128,96,27,31,22,23,6,10,10,6,5,3,85,0
2009,Peoria,1695,350,424,115,112,74,48,37,38,38,23,24,19,393,0
2009,Perry,226,63,49,16,12,4,10,6,11,4,8,2,2,39,0
2009,Piatt,161,42,35,6,12,8,3,3,3,4,1,1,2,41,0
2009,Pike,200,39,42,22,7,10,2,6,6,3,1,3,1,58,0
2009,Pope,31,9,3,2,3,1,0,1,3,0,1,4,0,4,0
2009,Pulaski,70,24,10,5,8,2,2,1,1,5,1,1,0,10,0
2009,Putnam,63,12,23,2,4,2,1,2,1,0,3,0,2,11,0
2009,Randolph,391,101,98,10,14,19,10,12,16,10,11,5,3,82,0
2009,Richland,181,52,47,9,6,12,1,0,4,4,3,6,2,35,0
2009,Rock Island,1414,386,327,84,67,51,54,40,32,22,18,12,12,309,0
2009,St. Clair,2476,538,560,196,151,112,74,108,59,47,49,25,19,538,0
2009,Saline,335,76,69,23,20,10,17,9,14,10,11,4,7,65,0
2009,Sangamon,1930,469,459,136,94,85,45,42,35,46,26,25,22,446,0
2009,Schuyler,85,25,20,5,6,4,1,1,3,4,2,2,1,11,0
2009,Scott,50,12,9,3,5,3,0,0,1,2,2,0,0,13,0
2009,Shelby,248,65,67,9,24,13,5,8,2,7,2,2,2,42,0
2009,Stark,84,25,15,4,2,4,7,2,0,3,2,0,0,20,0
2009,Stephenson,531,111,127,34,41,18,11,14,9,17,12,4,6,127,0
2009,Tazewell,1328,323,345,86,73,42,40,33,26,34,33,11,12,270,0
2009,Union,219,42,49,15,11,8,15,5,8,9,5,1,1,50,0
2009,Vermilion,912,213,231,80,54,45,12,21,22,18,21,10,14,171,0
2009,Wabash,128,28,25,7,4,9,3,3,8,2,3,3,5,28,0
2009,Warren,189,46,41,13,21,6,5,8,1,5,3,5,0,35,0
2009,Washington,135,33,31,9,11,7,1,1,6,2,2,2,1,29,0
2009,Wayne,206,57,46,13,13,3,2,5,7,4,3,4,0,49,0
2009,White,218,57,58,15,10,7,11,10,3,4,2,2,0,39,0
2009,White,616,169,158,41,34,23,23,18,12,8,3,6,4,117,0
2009,Will,3724,874,1004,164,168,161,81,101,101,81,58,44,65,822,0
2009,Will,750,173,186,43,38,23,17,16,33,31,15,12,7,156,0
2009,Winnebago,2555,609,629,153,137,139,52,43,65,40,28,32,31,597,0
2009,Woodford,370,78,90,24,19,16,29,9,8,12,2,7,3,73,0
2010,ILLINOIS,99624,24868,24016,5333,5219,3961,2915,2607,2499,2205,1858,1169,1119,21855,0
2010,Adams,721,153,151,42,53,28,26,24,15,26,10,6,4,183,0
2010,Alexander,91,28,12,4,6,6,0,2,3,0,1,1,1,27,0
2010,Bond,181,52,27,9,14,17,9,4,4,4,3,3,2,33,0
2010,Boone,325,71,91,17,18,16,8,11,7,7,4,3,12,60,0
2010,Brown,69,14,11,5,10,2,0,1,1,1,2,1,0,21,0
2010,Bureau,382,98,86,31,23,22,15,10,3,14,3,9,2,66,0
2010,Calhoun,49,14,12,5,6,5,1,2,0,0,1,2,0,1,0
2010,Carroll,200,46,49,8,21,15,4,2,4,4,1,3,3,40,0
2010,Cass,139,34,33,11,9,3,0,0,6,4,0,1,2,36,0
2010,Champaign,1124,230,260,59,83,60,50,36,22,20,16,17,8,263,0
2010,Christian,409,111,97,29,25,16,10,12,9,9,7,3,5,76,0
2010,Clark,204,56,39,9,16,13,15,5,7,7,1,2,5,29,0
2010,Clay,175,31,38,12,11,13,1,1,3,5,9,2,0,49,0
2010,Clinton,295,64,72,14,15,14,8,17,1,6,5,3,2,74,0
2010,Coles,519,132,117,41,40,26,14,10,10,8,7,6,7,101,0
2010,Cook,38605,10247,9431,1978,1588,1281,879,1057,1102,893,864,390,449,8446,0
2010,Chicago,18598,5077,4494,882,687,672,345,504,598,433,460,171,226,4046,0
2010,Suburban Cook,20007,5170,4937,1096,901,609,534,553,504,460,404,219,223,4400,0
2010,Crawford,223,60,48,16,11,7,9,11,3,4,4,3,2,45,0
2010,Cumberland,116,30,28,7,13,10,3,1,3,0,0,0,0,21,0
2010,DeKalb,662,161,147,34,37,23,33,17,22,14,7,2,7,158,0
2010,DeWitt,163,37,36,11,20,7,9,5,3,2,1,0,0,32,0
2010,Douglas,177,46,45,6,10,8,7,1,4,6,2,1,1,40,0
2010,DuPage,5643,1260,1413,314,282,195,217,138,102,101,93,93,59,1376,0
2010,Edgar,242,74,40,17,20,7,18,8,2,4,5,4,2,41,0
2010,Edwards,91,18,25,4,6,4,1,1,0,3,3,3,2,21,0
2010,Effingham,332,72,67,23,24,28,9,7,13,9,4,0,3,73,0
2010,Fayette,209,41,51,11,9,12,12,2,6,10,4,5,2,44,0
2010,Ford,198,48,47,11,8,5,11,7,2,3,2,2,1,51,0
2010,Franklin,547,98,112,22,50,28,46,20,29,14,20,6,3,99,0
2010,Fulton,437,111,100,22,18,17,18,9,9,4,10,4,2,113,0
2010,Gallatin,89,31,17,4,4,3,2,8,2,2,3,2,2,9,0
2010,Greene,148,39,38,9,6,5,4,6,7,3,3,1,0,27,0
2010,Grundy,361,78,80,26,13,22,17,7,14,5,5,5,4,85,0
2010,Hamilton,115,42,40,4,2,4,1,5,1,1,2,1,0,12,0
2010,Hancock,176,50,52,10,12,3,7,0,3,3,3,0,1,32,0
2010,Hardin,62,13,17,1,6,4,2,2,1,1,1,2,0,12,0
2010,Henderson,75,23,23,3,7,3,3,0,1,1,1,1,0,9,0
2010,Henry,567,137,152,40,31,23,9,11,7,6,11,9,7,124,0
2010,Iroquois,380,101,85,33,16,13,28,11,16,3,11,5,4,54,0
2010,Jackson,459,108,104,23,29,14,14,15,16,8,13,3,3,109,0
2010,Jasper,100,25,22,2,5,8,7,3,0,7,1,2,1,17,0
2010,Jefferson,443,87,101,20,26,18,21,14,7,42,5,6,8,88,0
2010,Jersey,237,67,56,7,16,12,13,6,10,5,5,2,2,36,0
2010,Jo Daviess,225,54,62,14,12,6,11,6,0,6,2,2,3,47,0
2010,Johnson,119,15,28,6,5,8,2,5,1,2,8,1,1,37,0
2010,Kane,2771,597,703,166,114,100,66,82,71,54,46,48,37,687,0
2010,Kankakee,971,258,264,43,56,35,44,29,20,26,15,8,10,163,0
2010,Kendall,473,98,121,30,23,17,9,21,12,8,4,8,6,116,0
2010,Knox,701,171,145,36,64,31,34,12,17,28,10,8,10,135,0
2010,Lake,4047,937,1013,180,197,189,115,109,105,94,54,67,55,932,0
2010,LaSalle,1284,342,306,87,72,73,42,16,19,25,15,15,19,253,0
2010,Lawrence,200,30,43,5,19,9,15,6,7,6,6,6,2,46,0
2010,Lee,317,87,73,15,22,17,11,6,3,3,5,4,5,66,0
2010,Livingston,416,130,68,38,26,13,15,9,14,11,11,3,4,74,0
2010,Logan,328,67,85,17,7,10,22,4,6,6,4,2,2,96,0
2010,McDonough,295,91,61,18,16,7,5,7,6,12,5,4,1,62,0
2010,McHenry,1865,409,504,76,95,89,48,41,43,27,27,41,26,439,0
2010,McLean,1096,255,288,56,65,53,56,23,25,20,12,17,16,210,2010
2010,Macon,1166,307,296,78,64,32,20,36,21,14,22,8,12,256,0
2010,Macoupin,517,140,110,28,41,24,17,12,8,16,8,3,4,106,0
2010,Madison,2627,678,635,155,155,155,82,60,59,52,53,28,21,494,0
2010,Marion,541,139,138,17,28,25,15,18,19,20,15,9,3,95,0
2010,Marshall,173,53,40,13,10,4,13,2,1,0,2,2,3,30,0
2010,Mason,201,36,46,11,15,15,9,9,4,4,3,2,2,45,0
2010,Massac,215,54,52,9,15,9,5,5,6,2,0,3,1,54,0
2010,Menard,121,38,26,2,3,4,2,1,3,4,1,2,0,35,0
2010,Mercer,157,44,39,5,6,7,12,5,5,1,1,2,2,28,0
2010,Monroe,253,52,63,16,12,13,13,4,2,8,5,1,1,63,0
2010,Montgomery,351,85,88,16,23,12,18,3,11,15,9,3,4,64,0
2010,Morgan,338,92,74,11,32,22,5,4,7,17,1,0,1,72,0
2010,Moultrie,206,59,42,11,13,7,1,8,14,4,0,1,0,46,0
2010,Ogle,471,110,119,32,24,25,26,17,8,3,8,6,4,89,0
2010,Peoria,1720,358,423,108,96,65,51,38,37,55,43,19,17,410,0
2010,Perry,250,59,48,13,25,9,8,11,7,5,7,4,3,51,0
2010,Piatt,143,37,29,8,7,7,4,1,5,4,2,1,1,37,0
2010,Pike,200,34,43,20,14,10,3,4,8,6,4,0,4,50,0
2010,Pope,58,12,16,5,5,3,0,1,2,1,0,0,0,13,0
2010,Pulaski,86,23,28,2,4,3,1,5,1,0,1,0,0,18,0
2010,Putnam,48,10,10,2,1,3,2,0,2,0,0,1,3,14,0
2010,Randolph,335,76,62,12,27,21,16,12,10,8,4,4,2,81,0
2010,Richland,197,54,43,15,7,5,0,6,2,5,1,1,1,57,0
2010,Rock Island,1445,422,339,71,94,48,32,22,34,35,30,14,19,285,0
2010,St. Clair,2372,527,554,141,158,93,76,62,86,36,37,29,29,544,0
2010,Saline,376,96,75,23,25,15,25,14,7,8,12,5,5,66,0
2010,Sangamon,1766,422,398,86,125,101,50,33,35,29,19,28,33,407,0
2010,Schuyler,77,27,19,5,4,5,0,1,0,2,0,1,0,13,0
2010,Scott,60,13,14,2,8,5,0,1,1,6,0,1,0,9,0
2010,Shelby,235,73,58,13,20,7,2,3,3,7,3,2,2,42,0
2010,Stark,83,16,17,6,4,6,7,5,1,2,1,0,1,17,0
2010,Stephenson,517,114,113,33,33,20,16,8,11,11,12,5,5,136,0
2010,Tazewell,1351,319,326,72,85,41,43,39,32,29,20,17,12,316,0
2010,Union,197,43,40,16,10,9,9,5,6,7,2,2,0,48,0
2010,Vermilion,922,243,206,54,96,36,24,21,16,14,14,7,13,178,0
2010,Wabash,160,46,33,4,13,15,1,3,1,4,6,0,3,31,0
2010,Warren,167,48,28,16,12,8,4,3,8,4,3,1,2,30,0
2010,Washington,144,36,31,18,10,4,0,8,4,4,3,2,1,23,0
2010,Wayne,195,40,50,17,8,7,3,5,5,7,2,1,2,48,0
2010,White,239,58,59,9,19,10,8,2,6,9,5,6,3,45,0
2010,White,620,183,141,34,44,19,11,16,15,13,10,3,4,127,0
2010,Will,3761,923,973,173,183,175,100,104,86,69,55,55,41,824,0
2010,Will,739,158,171,36,46,32,24,32,9,19,23,7,8,174,0
2010,Winnebago,2609,641,591,151,162,132,72,66,55,42,30,33,30,604,0
2010,Woodford,350,85,74,23,21,14,29,7,7,7,4,2,1,76,0
2011,ILLINOIS,101291,24607,23852,5324,5369,3510,2896,2361,2658,2394,1828,1041,1121,24330,0
2011,Adams,815,199,167,43,52,26,28,16,21,32,16,8,2,205,0
2011,Alexander,105,29,19,5,7,1,3,3,4,2,3,1,0,28,0
2011,Bond,177,35,42,6,12,7,9,5,4,8,3,3,2,41,0
2011,Boone,364,83,82,25,30,10,13,3,11,6,4,2,3,92,0
2011,Brown,46,11,12,3,3,3,1,0,1,0,1,0,2,9,0
2011,Bureau,376,94,85,21,31,13,11,10,7,12,4,3,5,80,0
2011,Calhoun,53,20,8,2,4,1,0,0,1,2,1,0,0,14,0
2011,Carroll,181,41,52,5,10,4,3,2,8,3,4,5,1,43,0
2011,Cass,142,34,37,14,15,6,0,4,0,4,2,0,0,26,0
2011,Champaign,1209,260,273,54,63,48,62,26,25,28,20,8,12,330,0
2011,Christian,404,83,98,24,26,14,18,11,9,14,10,5,3,89,0
2011,Clark,198,39,45,18,12,7,5,2,4,5,7,5,2,47,0
2011,Clay,176,33,45,14,16,11,1,4,1,9,2,2,1,37,0
2011,Clinton,319,97,72,18,9,13,8,6,3,3,9,4,4,73,0
2011,Coles,457,135,83,27,30,18,11,13,14,13,2,2,3,106,0
2011,Cook,38871,10114,9221,1981,1655,1148,858,949,1092,967,805,336,451,9294,0
2011,Chicago,18743,5008,4333,889,718,639,370,455,566,472,415,160,239,4479,0
2011,Suburban Cook,20128,5106,4888,1092,937,509,488,494,526,495,390,176,212,4815,0
2011,Crawford,214,49,43,20,12,11,8,6,5,9,3,1,1,46,0
2011,Cumberland,130,26,39,6,4,8,2,1,3,2,1,3,1,34,0
2011,DeKalb,667,143,157,32,40,29,30,17,14,14,8,5,10,168,0
2011,DeWitt,157,40,42,8,9,7,9,2,5,3,2,0,2,28,0
2011,Douglas,188,54,40,13,14,8,8,3,1,6,4,2,2,33,0
2011,DuPage,5976,1304,1469,299,292,160,216,122,122,152,103,73,60,1604,0
2011,Edgar,192,57,41,12,15,9,7,3,5,3,5,1,1,33,0
2011,Edwards,67,22,21,1,4,3,0,2,0,1,1,0,1,11,0
2011,Effingham,341,69,84,21,21,23,11,5,13,4,9,0,1,80,0
2011,Fayette,210,41,45,12,20,11,13,6,8,7,1,4,1,41,0
2011,Ford,199,41,27,10,10,5,17,5,3,7,0,2,1,71,0
2011,Franklin,544,87,126,27,41,18,48,17,28,13,16,11,6,106,0
2011,Fulton,462,82,102,30,42,18,12,12,6,14,8,7,1,128,0
2011,Gallatin,83,16,18,5,5,7,5,1,0,5,1,2,2,16,0
2011,Greene,146,39,28,11,9,5,2,4,6,2,4,1,0,35,0
2011,Grundy,412,107,97,17,28,22,12,6,13,9,6,10,8,77,0
2011,Hamilton,114,39,31,3,5,2,2,8,3,2,1,1,1,16,0
2011,Hancock,191,46,39,14,17,9,15,3,1,6,3,3,0,35,0
2011,Hardin,54,15,11,3,5,3,0,3,0,2,0,0,0,12,0
2011,Henderson,79,17,16,7,7,1,6,3,5,4,2,0,1,10,0
2011,Henry,515,109,117,26,38,20,9,11,14,15,7,8,5,136,0
2011,Iroquois,387,97,84,29,27,14,31,8,16,6,10,2,3,60,0
2011,Jackson,481,109,94,34,23,25,25,13,9,13,9,10,6,111,0
2011,Jasper,97,29,17,5,3,2,1,1,2,4,3,2,1,27,0
2011,Jefferson,435,95,101,14,23,24,22,18,9,20,7,7,3,92,0
2011,Jersey,262,73,51,12,11,11,25,4,17,2,2,3,2,49,0
2011,Jo Daviess,236,46,60,17,15,14,17,5,2,8,0,5,1,46,0
2011,Johnson,123,21,23,1,5,2,1,4,0,3,2,2,1,58,0
2011,Kane,2867,529,716,145,163,109,66,75,85,65,40,36,47,791,0
2011,Kankakee,1037,271,232,46,58,48,46,27,23,23,25,12,9,217,0
2011,Kendall,484,104,129,22,24,18,6,16,11,7,6,10,8,123,0
2011,Knox,647,153,114,34,50,15,31,9,23,32,8,5,4,169,0
2011,Lake,4041,880,1007,218,206,120,104,81,138,90,64,55,45,1033,0
2011,LaSalle,1318,361,299,66,85,61,40,17,36,30,15,19,15,274,0
2011,Lawrence,221,37,40,13,15,11,16,6,12,8,5,0,1,57,0
2011,Lee,363,82,83,20,24,16,10,9,4,7,3,5,4,96,0
